date	oilf
01/1/2001	26.8
02/1/2001	27.21
03/1/2001	28
04/1/2001	28.14
05/1/2001	27.95
08/1/2001	27.32
09/1/2001	27.64
10/1/2001	29.48
11/1/2001	29.41
12/1/2001	30.05
15/1/2001	30.05
16/1/2001	30.29
17/1/2001	29.6
18/1/2001	30.45
19/1/2001	32.19
22/1/2001	32.19
23/1/2001	29.57
24/1/2001	29.05
25/1/2001	29.36
26/1/2001	29.77
29/1/2001	29.06
30/1/2001	29.06
31/1/2001	28.66
01/2/2001	29.82
02/2/2001	31.19
05/2/2001	30.55
06/2/2001	30.35
07/2/2001	31.27
08/2/2001	31.59
09/2/2001	31.03
12/2/2001	30.51
13/2/2001	30.36
14/2/2001	29.71
15/2/2001	28.8
16/2/2001	29.16
19/2/2001	29.16
20/2/2001	28.58
21/2/2001	28.53
22/2/2001	28.82
23/2/2001	29.04
26/2/2001	28.42
27/2/2001	28.13
28/2/2001	27.39
01/3/2001	27.62
02/3/2001	27.84
05/3/2001	28.6
06/3/2001	28.32
07/3/2001	29
08/3/2001	28.39
09/3/2001	28.01
12/3/2001	28
13/3/2001	27.59
14/3/2001	26.41
15/3/2001	26.55
16/3/2001	26.74
19/3/2001	26.15
20/3/2001	25.96
21/3/2001	26.8
22/3/2001	26.54
23/3/2001	27.3
26/3/2001	27.48
27/3/2001	27.75
28/3/2001	26.31
29/3/2001	26.32
30/3/2001	26.29
02/4/2001	25.59
03/4/2001	26.19
04/4/2001	27.12
05/4/2001	27.26
06/4/2001	27.06
09/4/2001	27.28
10/4/2001	28.48
11/4/2001	28.18
12/4/2001	28.25
13/4/2001	28.25
16/4/2001	28.79
17/4/2001	28.24
18/4/2001	27.95
19/4/2001	27.82
20/4/2001	27.28
23/4/2001	27.61
24/4/2001	26.82
25/4/2001	27.29
26/4/2001	28.44
27/4/2001	28.27
30/4/2001	28.46
01/5/2001	28.94
02/5/2001	27.8
03/5/2001	28.45
04/5/2001	28.36
07/5/2001	27.77
08/5/2001	27.39
09/5/2001	28.23
10/5/2001	28.52
11/5/2001	28.55
14/5/2001	28.71
15/5/2001	28.98
16/5/2001	28.86
17/5/2001	28.91
18/5/2001	29.91
21/5/2001	29.98
22/5/2001	29.74
23/5/2001	29.58
24/5/2001	28.41
25/5/2001	28.38
28/5/2001	28.38
29/5/2001	28.66
30/5/2001	28.55
31/5/2001	28.37
01/6/2001	27.93
04/6/2001	28.13
05/6/2001	28.24
06/6/2001	27.72
07/6/2001	27.75
08/6/2001	28.33
11/6/2001	29.04
12/6/2001	29.18
13/6/2001	28.84
14/6/2001	29.04
15/6/2001	28.51
18/6/2001	27.55
19/6/2001	27.48
20/6/2001	26.5
21/6/2001	26.56
22/6/2001	26.83
25/6/2001	27.25
26/6/2001	26.98
27/6/2001	25.61
28/6/2001	25.56
29/6/2001	26.25
02/7/2001	25.95
03/7/2001	26.24
04/7/2001	26.24
05/7/2001	27.02
06/7/2001	28.21
09/7/2001	27.59
10/7/2001	27.49
11/7/2001	27.11
12/7/2001	26.8
13/7/2001	26.59
16/7/2001	26.06
17/7/2001	25.57
18/7/2001	24.89
19/7/2001	24.7
20/7/2001	25.59
23/7/2001	26.12
24/7/2001	26.31
25/7/2001	26.84
26/7/2001	26.73
27/7/2001	27.02
30/7/2001	26.63
31/7/2001	26.35
01/8/2001	26.77
02/8/2001	27.71
03/8/2001	27.62
06/8/2001	27.74
07/8/2001	27.94
08/8/2001	27.54
09/8/2001	27.64
10/8/2001	28.05
13/8/2001	27.82
14/8/2001	28.01
15/8/2001	27.56
16/8/2001	27.4
17/8/2001	26.68
20/8/2001	27.18
21/8/2001	27.91
22/8/2001	26.38
23/8/2001	26.63
24/8/2001	26.9
27/8/2001	26.67
28/8/2001	27.17
29/8/2001	27.05
30/8/2001	26.55
31/8/2001	27.2
03/9/2001	27.2
04/9/2001	26.93
05/9/2001	26.95
06/9/2001	27.58
07/9/2001	28.03
10/9/2001	27.63
11/9/2001	27.63
12/9/2001	27.63
13/9/2001	27.63
14/9/2001	29.53
17/9/2001	28.81
18/9/2001	27.7
19/9/2001	26.72
20/9/2001	26.59
21/9/2001	25.97
24/9/2001	22.01
25/9/2001	21.81
26/9/2001	22.38
27/9/2001	22.74
28/9/2001	23.43
01/10/2001	23.28
02/10/2001	22.79
03/10/2001	22.08
04/10/2001	22.63
05/10/2001	22.39
08/10/2001	22.45
09/10/2001	22.48
10/10/2001	22.53
11/10/2001	23.34
12/10/2001	22.5
15/10/2001	22.29
16/10/2001	22
17/10/2001	21.81
18/10/2001	21.31
19/10/2001	21.83
22/10/2001	21.76
23/10/2001	21.85
24/10/2001	22.33
25/10/2001	22.01
26/10/2001	22.03
29/10/2001	22.15
30/10/2001	21.87
31/10/2001	21.18
01/11/2001	20.39
02/11/2001	20.18
05/11/2001	20.02
06/11/2001	19.92
07/11/2001	20.09
08/11/2001	21.17
09/11/2001	22.22
12/11/2001	21.23
13/11/2001	21.67
14/11/2001	19.74
15/11/2001	17.45
16/11/2001	18.03
19/11/2001	17.72
20/11/2001	19.15
21/11/2001	18.96
22/11/2001	18.96
23/11/2001	18.96
26/11/2001	18.69
27/11/2001	19.48
28/11/2001	19.22
29/11/2001	18.62
30/11/2001	19.44
03/12/2001	20.09
04/12/2001	19.65
05/12/2001	19.49
06/12/2001	18.54
07/12/2001	19.04
10/12/2001	18.37
11/12/2001	18.08
12/12/2001	18.36
13/12/2001	18.12
14/12/2001	19.23
17/12/2001	19.22
18/12/2001	19.36
19/12/2001	19.8
20/12/2001	19.28
21/12/2001	19.62
24/12/2001	19.62
25/12/2001	19.62
26/12/2001	21.27
27/12/2001	20.9
28/12/2001	20.41
31/12/2001	19.84
01/1/2002	19.84
02/1/2002	21.01
03/1/2002	20.37
04/1/2002	21.62
07/1/2002	21.48
08/1/2002	21.25
09/1/2002	20.18
10/1/2002	20.38
11/1/2002	19.68
14/1/2002	18.89
15/1/2002	18.9
16/1/2002	18.86
17/1/2002	17.97
18/1/2002	18
21/1/2002	18
22/1/2002	18.34
23/1/2002	19.5
24/1/2002	19.7
25/1/2002	19.99
28/1/2002	20.05
29/1/2002	19.58
30/1/2002	19.08
31/1/2002	19.48
01/2/2002	20.38
04/2/2002	20.07
05/2/2002	20.07
06/2/2002	19.78
07/2/2002	19.64
08/2/2002	20.26
11/2/2002	21.41
12/2/2002	20.73
13/2/2002	21.18
14/2/2002	21.23
15/2/2002	21.5
18/2/2002	21.5
19/2/2002	20.88
20/2/2002	20.29
21/2/2002	20.95
22/2/2002	21.07
25/2/2002	20.48
26/2/2002	21.41
27/2/2002	21.29
28/2/2002	21.74
01/3/2002	22.4
04/3/2002	22.45
05/3/2002	23.17
06/3/2002	23.15
07/3/2002	23.71
08/3/2002	23.84
11/3/2002	24.31
12/3/2002	24.2
13/3/2002	24.16
14/3/2002	24.56
15/3/2002	24.51
18/3/2002	25.11
19/3/2002	24.88
20/3/2002	24.9
21/3/2002	25.61
22/3/2002	25.35
25/3/2002	24.99
26/3/2002	25.36
27/3/2002	25.87
28/3/2002	26.31
29/3/2002	26.31
01/4/2002	26.88
02/4/2002	27.71
03/4/2002	27.56
04/4/2002	26.58
05/4/2002	26.21
08/4/2002	26.54
09/4/2002	25.82
10/4/2002	26.13
11/4/2002	24.99
12/4/2002	23.47
15/4/2002	24.57
16/4/2002	24.75
17/4/2002	25.94
18/4/2002	26.18
19/4/2002	26.38
22/4/2002	26.27
23/4/2002	26.62
24/4/2002	26.38
25/4/2002	26.73
26/4/2002	27.11
29/4/2002	27.57
30/4/2002	27.29
01/5/2002	26.75
02/5/2002	26.24
03/5/2002	26.62
06/5/2002	26.12
07/5/2002	26.63
08/5/2002	27.85
09/5/2002	27.68
10/5/2002	27.99
13/5/2002	28.38
14/5/2002	29.36
15/5/2002	28.15
16/5/2002	27.95
17/5/2002	28.18
20/5/2002	28.33
21/5/2002	27.33
22/5/2002	26.37
23/5/2002	26.15
24/5/2002	25.88
27/5/2002	25.88
28/5/2002	25.27
29/5/2002	25.76
30/5/2002	24.67
31/5/2002	25.31
03/6/2002	25.08
04/6/2002	25.33
05/6/2002	24.89
06/6/2002	24.79
07/6/2002	24.75
10/6/2002	24.29
11/6/2002	24.12
12/6/2002	24.64
13/6/2002	25.64
14/6/2002	25.94
17/6/2002	26.09
18/6/2002	25.43
19/6/2002	25.31
20/6/2002	25.53
21/6/2002	25.82
24/6/2002	26.47
25/6/2002	26.32
26/6/2002	26.76
27/6/2002	26.86
28/6/2002	26.86
01/7/2002	26.81
02/7/2002	26.77
03/7/2002	26.8
04/7/2002	26.8
05/7/2002	26.8
08/7/2002	26.07
09/7/2002	26.09
10/7/2002	26.77
11/7/2002	26.83
12/7/2002	27.48
15/7/2002	27.07
16/7/2002	27.75
17/7/2002	27.88
18/7/2002	27.57
19/7/2002	27.83
22/7/2002	26.6
23/7/2002	26.31
24/7/2002	26.87
25/7/2002	26.77
26/7/2002	26.54
29/7/2002	26.55
30/7/2002	27.36
31/7/2002	27.02
01/8/2002	26.47
02/8/2002	26.84
05/8/2002	26.58
06/8/2002	27.17
07/8/2002	26.5
08/8/2002	26.67
09/8/2002	26.86
12/8/2002	27.86
13/8/2002	27.9
14/8/2002	28.15
15/8/2002	29.06
16/8/2002	29.33
19/8/2002	29.84
20/8/2002	30.11
21/8/2002	29.24
22/8/2002	28.84
23/8/2002	28.63
26/8/2002	29.28
27/8/2002	28.83
28/8/2002	28.34
29/8/2002	28.92
30/8/2002	28.98
02/9/2002	28.98
03/9/2002	27.79
04/9/2002	28.27
05/9/2002	28.98
06/9/2002	29.61
09/9/2002	29.73
10/9/2002	29.73
11/9/2002	29.77
12/9/2002	28.85
13/9/2002	29.81
16/9/2002	29.67
17/9/2002	29.08
