roilf	roilf1
2.861995738	1.518266528
0.498754151	2.861995738
-0.677485209	0.498754151
-2.27981649	-0.677485209
1.16449642	-2.27981649
6.444806842	1.16449642
-0.237731476	6.444806842
2.152790842	-0.237731476
0	2.152790842
0.795496406	0
-2.304326371	0.795496406
2.831163283	-2.304326371
5.556985115	2.831163283
0	5.556985115
-8.489551145	0
-1.774185057	-8.489551145
1.061472045	-1.774185057
1.386797128	1.061472045
-2.413851689	1.386797128
0	-2.413851689
-1.386023574	0
3.967688694	-1.386023574
4.491822128	3.967688694
-2.0732845	4.491822128
-0.656816811	-2.0732845
2.986265396	-0.656816811
1.018144334	2.986265396
-1.788613635	1.018144334
-1.689997973	-1.788613635
-0.49285462	-1.689997973
-2.164226305	-0.49285462
-3.110830233	-2.164226305
1.242252	-3.110830233
0	1.242252
-2.009073464	0
-0.175100728	-2.009073464
1.011342535	-0.175100728
0.760459939	1.011342535
-2.158106729	0.760459939
-1.025650017	-2.158106729
-2.665863923	-1.025650017
0.836216471	-2.665863923
0.793368749	0.836216471
2.693288236	0.793368749
-0.9838449	2.693288236
2.372756116	-0.9838449
-2.12588595	2.372756116
-1.347538121	-2.12588595
-0.03570791	-1.347538121
-1.475112195	-0.03570791
-4.371066192	-1.475112195
0.528702138	-4.371066192
0.713082399	0.528702138
-2.231138116	0.713082399
-0.729229868	-2.231138116
3.184499568	-0.729229868
-0.974885861	3.184499568
2.823367329	-0.974885861
0.657176516	2.823367329
0.977737284	0.657176516
-5.328674514	0.977737284
0.03800114	-5.328674514
-0.114046772	0.03800114
-2.698698857	-0.114046772
2.317600835	-2.698698857
3.489380455	2.317600835
0.51489632	3.489380455
-0.736380353	0.51489632
0.809721023	-0.736380353
4.304825357	0.809721023
-1.058958007	4.304825357
0.248095112	-1.058958007
0	0.248095112
1.893464703	0
-1.9288692	1.893464703
-1.032221302	-1.9288692
-0.466201311	-1.032221302
-1.960135352	-0.466201311
1.202419297	-1.960135352
-2.903014809	1.202419297
1.737245687	-2.903014809
4.127627021	1.737245687
-0.599543323	4.127627021
0.669842096	-0.599543323
1.672512854	0.669842096
-4.018870051	1.672512854
2.311213988	-4.018870051
-0.316845891	2.311213988
-2.102340035	-0.316845891
-1.377831804	-2.102340035
3.020725899	-1.377831804
1.022035328	3.020725899
0.105134056	1.022035328
0.558855803	0.105134056
0.936044276	0.558855803
-0.414938355	0.936044276
0.173100268	-0.414938355
3.400531661	0.173100268
0.233762003	3.400531661
-0.803755164	0.233762003
-0.539448375	-0.803755164
-4.035726142	-0.539448375
-0.105652413	-4.035726142
0	-0.105652413
0.981775067	0
-0.38454863	0.981775067
-0.632468728	-0.38454863
-1.563086886	-0.632468728
0.713524254	-1.563086886
0.390279012	0.713524254
-1.85852383	0.390279012
0.108166587	-1.85852383
2.068547365	0.108166587
2.475287611	2.068547365
0.480935314	2.475287611
-1.172023068	0.480935314
0.691087754	-1.172023068
-1.841928703	0.691087754
-3.425236733	-1.841928703
-0.254406824	-3.425236733
-3.631373436	-0.254406824
0.226159162	-3.631373436
1.011433983	0.226159162
1.553285667	1.011433983
-0.995767033	1.553285667
-5.211295057	-0.995767033
-0.19542707	-5.211295057
2.663735953	-0.19542707
-1.149437943	2.663735953
1.111335446	-1.149437943
0	1.111335446
2.929236846	0
4.309919248	2.929236846
-2.222313678	4.309919248
-0.363108605	-2.222313678
-1.391963867	-0.363108605
-1.150077599	-1.391963867
-0.786668226	-1.150077599
-2.013363356	-0.786668226
-1.898178239	-2.013363356
-2.695367292	-1.898178239
-0.766287275	-2.695367292
3.539840654	-0.766287275
2.049965424	3.539840654
0.724779064	2.049965424
1.994421705	0.724779064
-0.410678195	1.994421705
1.079080238	-0.410678195
-1.453893271	1.079080238
-1.057012484	-1.453893271
1.581358254	-1.057012484
3.451150134	1.581358254
-0.325321089	3.451150134
0.433526691	-0.325321089
0.718393894	0.433526691
-1.441986053	0.718393894
0.36245056	-1.441986053
1.472463307	0.36245056
-0.823344547	1.472463307
0.680640278	-0.823344547
-1.619614313	0.680640278
-0.582243275	-1.619614313
-2.662879235	-0.582243275
1.856718768	-2.662879235
2.650363883	1.856718768
-5.637890026	2.650363883
0.943225254	-5.637890026
1.008788678	0.943225254
-0.858694841	1.008788678
