date	ngasf
01/1/2001	9.775
02/1/2001	8.364
03/1/2001	8.189
04/1/2001	8.966
05/1/2001	9.261
08/1/2001	9.689
09/1/2001	9.819
10/1/2001	9.128
11/1/2001	8.708
12/1/2001	8.472
15/1/2001	8.472
16/1/2001	8.103
17/1/2001	6.909
18/1/2001	7.136
19/1/2001	7.459
22/1/2001	7.457
23/1/2001	6.946
24/1/2001	7.115
25/1/2001	7.27
26/1/2001	7.256
29/1/2001	6.293
30/1/2001	6.097
31/1/2001	5.707
01/2/2001	6.38
02/2/2001	6.743
05/2/2001	5.71
06/2/2001	5.764
07/2/2001	6.235
08/2/2001	6.158
09/2/2001	6.21
12/2/2001	5.821
13/2/2001	6.019
14/2/2001	5.518
15/2/2001	5.594
16/2/2001	5.568
19/2/2001	5.568
20/2/2001	5.278
21/2/2001	5.146
22/2/2001	5.142
23/2/2001	5.131
26/2/2001	4.998
27/2/2001	5.279
28/2/2001	5.236
01/3/2001	5.186
02/3/2001	5.27
05/3/2001	5.336
06/3/2001	5.315
07/3/2001	5.35
08/3/2001	5.285
09/3/2001	5.072
12/3/2001	5.159
13/3/2001	5.006
14/3/2001	4.911
15/3/2001	4.927
16/3/2001	5.035
19/3/2001	5.063
20/3/2001	5.287
21/3/2001	5.041
22/3/2001	5.212
23/3/2001	5.273
26/3/2001	5.322
27/3/2001	5.621
28/3/2001	5.384
29/3/2001	5.274
30/3/2001	5.025
02/4/2001	5.103
03/4/2001	5.115
04/4/2001	5.182
05/4/2001	5.422
06/4/2001	5.388
09/4/2001	5.477
10/4/2001	5.559
11/4/2001	5.385
12/4/2001	5.381
13/4/2001	5.381
16/4/2001	5.516
17/4/2001	5.248
18/4/2001	5.148
19/4/2001	5.101
20/4/2001	5.128
23/4/2001	5.125
24/4/2001	5.07
25/4/2001	4.981
26/4/2001	4.891
27/4/2001	4.867
30/4/2001	4.695
01/5/2001	4.641
02/5/2001	4.483
03/5/2001	4.527
04/5/2001	4.49
07/5/2001	4.239
08/5/2001	4.279
09/5/2001	4.202
10/5/2001	4.348
11/5/2001	4.278
14/5/2001	4.394
15/5/2001	4.653
16/5/2001	4.298
17/5/2001	4.248
18/5/2001	4.291
21/5/2001	4.113
22/5/2001	4.123
23/5/2001	4.113
24/5/2001	4.054
25/5/2001	3.973
28/5/2001	3.973
29/5/2001	3.738
30/5/2001	3.981
31/5/2001	3.914
01/6/2001	3.93
04/6/2001	4.069
05/6/2001	3.892
06/6/2001	3.801
07/6/2001	3.79
08/6/2001	3.922
11/6/2001	4.179
12/6/2001	4.301
13/6/2001	4.112
14/6/2001	4.038
15/6/2001	3.979
18/6/2001	3.939
19/6/2001	3.981
20/6/2001	3.734
21/6/2001	3.747
22/6/2001	3.742
25/6/2001	3.446
26/6/2001	3.397
27/6/2001	3.182
28/6/2001	3.28
29/6/2001	3.096
02/7/2001	3.117
03/7/2001	3.201
04/7/2001	3.201
05/7/2001	3.136
06/7/2001	3.218
09/7/2001	3.153
10/7/2001	3.282
11/7/2001	3.342
12/7/2001	3.428
13/7/2001	3.25
16/7/2001	3.068
17/7/2001	3.165
18/7/2001	3.087
19/7/2001	2.939
20/7/2001	2.955
23/7/2001	2.978
24/7/2001	2.97
25/7/2001	3.276
26/7/2001	3.128
27/7/2001	3.167
30/7/2001	3.353
31/7/2001	3.296
01/8/2001	3.081
02/8/2001	3.192
03/8/2001	2.971
06/8/2001	3.027
07/8/2001	2.971
08/8/2001	3.036
09/8/2001	2.956
10/8/2001	3.04
13/8/2001	2.999
14/8/2001	3.094
15/8/2001	3.468
16/8/2001	3.367
17/8/2001	3.303
20/8/2001	3.187
21/8/2001	3.166
22/8/2001	2.848
23/8/2001	2.811
24/8/2001	2.706
27/8/2001	2.544
28/8/2001	2.415
29/8/2001	2.295
30/8/2001	2.395
31/8/2001	2.38
03/9/2001	2.38
04/9/2001	2.359
05/9/2001	2.42
06/9/2001	2.44
07/9/2001	2.5
10/9/2001	2.392
11/9/2001	2.392
12/9/2001	2.392
13/9/2001	2.392
14/9/2001	2.552
17/9/2001	2.369
18/9/2001	2.225
19/9/2001	2.102
20/9/2001	2.137
21/9/2001	2.103
24/9/2001	1.91
25/9/2001	1.925
26/9/2001	1.83
27/9/2001	2.253
28/9/2001	2.244
01/10/2001	2.208
02/10/2001	2.268
03/10/2001	2.32
04/10/2001	2.414
05/10/2001	2.227
08/10/2001	2.27
09/10/2001	2.388
10/10/2001	2.48
11/10/2001	2.531
12/10/2001	2.43
15/10/2001	2.378
16/10/2001	2.592
17/10/2001	2.418
18/10/2001	2.486
19/10/2001	2.681
22/10/2001	2.807
23/10/2001	2.681
24/10/2001	2.981
25/10/2001	2.938
26/10/2001	3.041
29/10/2001	3.202
30/10/2001	3.183
31/10/2001	3.291
01/11/2001	3.29
02/11/2001	3.248
05/11/2001	2.922
06/11/2001	2.88
07/11/2001	2.87
08/11/2001	2.96
09/11/2001	2.925
12/11/2001	2.733
13/11/2001	2.798
14/11/2001	2.676
15/11/2001	2.551
16/11/2001	2.637
19/11/2001	2.791
20/11/2001	2.852
21/11/2001	2.813
22/11/2001	2.813
23/11/2001	2.813
26/11/2001	2.696
27/11/2001	2.606
28/11/2001	2.316
29/11/2001	2.561
30/11/2001	2.701
03/12/2001	2.634
04/12/2001	2.563
05/12/2001	2.491
06/12/2001	2.565
07/12/2001	2.568
10/12/2001	2.747
11/12/2001	2.803
12/12/2001	2.719
13/12/2001	2.756
14/12/2001	2.846
17/12/2001	2.686
18/12/2001	2.657
19/12/2001	2.616
20/12/2001	2.686
21/12/2001	2.895
24/12/2001	2.895
25/12/2001	2.895
26/12/2001	2.911
27/12/2001	2.555
28/12/2001	2.774
31/12/2001	2.57
01/1/2002	2.57
02/1/2002	2.465
03/1/2002	2.268
04/1/2002	2.275
07/1/2002	2.272
08/1/2002	2.281
09/1/2002	2.228
10/1/2002	2.185
11/1/2002	2.204
14/1/2002	2.25
15/1/2002	2.291
16/1/2002	2.394
17/1/2002	2.254
18/1/2002	2.236
21/1/2002	2.236
22/1/2002	2.106
23/1/2002	2.076
24/1/2002	2.048
25/1/2002	2.037
28/1/2002	1.908
29/1/2002	2.006
30/1/2002	2.08
31/1/2002	2.138
01/2/2002	2.138
04/2/2002	2.117
05/2/2002	2.074
06/2/2002	2.101
07/2/2002	2.15
08/2/2002	2.191
11/2/2002	2.286
12/2/2002	2.305
13/2/2002	2.245
14/2/2002	2.186
15/2/2002	2.206
18/2/2002	2.206
19/2/2002	2.397
20/2/2002	2.385
21/2/2002	2.425
22/2/2002	2.449
25/2/2002	2.307
26/2/2002	2.388
27/2/2002	2.427
28/2/2002	2.357
01/3/2002	2.359
04/3/2002	2.488
05/3/2002	2.467
06/3/2002	2.566
07/3/2002	2.756
08/3/2002	2.8
11/3/2002	3.021
12/3/2002	3.018
13/3/2002	2.87
14/3/2002	2.924
15/3/2002	3.076
18/3/2002	3.305
19/3/2002	3.256
20/3/2002	3.111
21/3/2002	3.431
22/3/2002	3.326
25/3/2002	3.457
26/3/2002	3.472
27/3/2002	3.29
28/3/2002	3.283
29/3/2002	3.283
01/4/2002	3.531
02/4/2002	3.654
03/4/2002	3.506
04/4/2002	3.333
05/4/2002	3.275
08/4/2002	3.327
09/4/2002	3.201
10/4/2002	3.184
11/4/2002	3.103
12/4/2002	3.125
15/4/2002	3.43
16/4/2002	3.294
