date	heatoilf
01/1/2001	0.9066
02/1/2001	0.8658
03/1/2001	0.8598
04/1/2001	0.8612
05/1/2001	0.8613
08/1/2001	0.8258
09/1/2001	0.8062
10/1/2001	0.8499
11/1/2001	0.8401
12/1/2001	0.8421
15/1/2001	0.8421
16/1/2001	0.8411
17/1/2001	0.8152
18/1/2001	0.8415
19/1/2001	0.8793
22/1/2001	0.879
23/1/2001	0.8622
24/1/2001	0.8222
25/1/2001	0.8301
26/1/2001	0.8456
29/1/2001	0.812
30/1/2001	0.8003
31/1/2001	0.8003
01/2/2001	0.7784
02/2/2001	0.8214
05/2/2001	0.8111
06/2/2001	0.8092
07/2/2001	0.8274
08/2/2001	0.8418
09/2/2001	0.8224
12/2/2001	0.8008
13/2/2001	0.7881
14/2/2001	0.7711
15/2/2001	0.7569
16/2/2001	0.7601
19/2/2001	0.7601
20/2/2001	0.7487
21/2/2001	0.7411
22/2/2001	0.7362
23/2/2001	0.7423
26/2/2001	0.747
27/2/2001	0.747
28/2/2001	0.7334
01/3/2001	0.7161
02/3/2001	0.7252
05/3/2001	0.7408
06/3/2001	0.7306
07/3/2001	0.7414
08/3/2001	0.733
09/3/2001	0.7291
12/3/2001	0.7316
13/3/2001	0.729
14/3/2001	0.7039
15/3/2001	0.7065
16/3/2001	0.7038
19/3/2001	0.6782
20/3/2001	0.6849
21/3/2001	0.7161
22/3/2001	0.7263
23/3/2001	0.766
26/3/2001	0.761
27/3/2001	0.7794
28/3/2001	0.7507
29/3/2001	0.7779
30/3/2001	0.7567
02/4/2001	0.6743
03/4/2001	0.6956
04/4/2001	0.7266
05/4/2001	0.7365
06/4/2001	0.7283
09/4/2001	0.7358
10/4/2001	0.7914
11/4/2001	0.7959
12/4/2001	0.7805
13/4/2001	0.7805
16/4/2001	0.8187
17/4/2001	0.8012
18/4/2001	0.7819
19/4/2001	0.7846
20/4/2001	0.77
23/4/2001	0.7515
24/4/2001	0.7375
25/4/2001	0.753
26/4/2001	0.7762
27/4/2001	0.7574
30/4/2001	0.7434
01/5/2001	0.7647
02/5/2001	0.7436
03/5/2001	0.7658
04/5/2001	0.7657
07/5/2001	0.7472
08/5/2001	0.7489
09/5/2001	0.7677
10/5/2001	0.7682
11/5/2001	0.7605
14/5/2001	0.7525
15/5/2001	0.7663
16/5/2001	0.7752
17/5/2001	0.7839
18/5/2001	0.8044
21/5/2001	0.8122
22/5/2001	0.8089
23/5/2001	0.8153
24/5/2001	0.7941
25/5/2001	0.7818
28/5/2001	0.7818
29/5/2001	0.7747
30/5/2001	0.776
31/5/2001	0.7795
01/6/2001	0.7592
04/6/2001	0.7592
05/6/2001	0.7695
06/6/2001	0.7664
07/6/2001	0.7592
08/6/2001	0.7665
11/6/2001	0.7827
12/6/2001	0.8017
13/6/2001	0.8014
14/6/2001	0.8328
15/6/2001	0.8045
18/6/2001	0.771
19/6/2001	0.7744
20/6/2001	0.7415
21/6/2001	0.7424
22/6/2001	0.7339
25/6/2001	0.7389
26/6/2001	0.7319
27/6/2001	0.6994
28/6/2001	0.6994
29/6/2001	0.709
02/7/2001	0.7108
03/7/2001	0.716
04/7/2001	0.716
05/7/2001	0.7239
06/7/2001	0.7378
09/7/2001	0.7279
10/7/2001	0.7233
11/7/2001	0.7059
12/7/2001	0.7067
13/7/2001	0.6874
16/7/2001	0.6881
17/7/2001	0.6869
18/7/2001	0.6725
19/7/2001	0.668
20/7/2001	0.6811
23/7/2001	0.6839
24/7/2001	0.6877
25/7/2001	0.7087
26/7/2001	0.7189
27/7/2001	0.7131
30/7/2001	0.7059
31/7/2001	0.6973
01/8/2001	0.7043
02/8/2001	0.7325
03/8/2001	0.7262
06/8/2001	0.7256
07/8/2001	0.7343
08/8/2001	0.7306
09/8/2001	0.7364
10/8/2001	0.7439
13/8/2001	0.7419
14/8/2001	0.7502
15/8/2001	0.7452
16/8/2001	0.7415
17/8/2001	0.7051
20/8/2001	0.7135
21/8/2001	0.7299
22/8/2001	0.7282
23/8/2001	0.7372
24/8/2001	0.746
27/8/2001	0.7501
28/8/2001	0.7748
29/8/2001	0.7657
30/8/2001	0.7525
31/8/2001	0.7663
03/9/2001	0.7663
04/9/2001	0.7611
