palm	soybean	olive	crude
6.3045	6.2645	7.7283	3.6889
6.3195	6.2514	7.7216	3.6507
6.2502	6.1878	7.6908	3.6441
6.2244	6.1116	7.6407	3.6415
6.1792	6.1381	7.6229	3.6507
6.1282	6.1842	7.6272	3.6376
6.1101	6.3733	7.6368	3.6217
6.0593	6.3688	7.6323	3.5145
6.0417	6.3834	7.6462	3.5086
6.0378	6.3482	7.6646	3.635
6.1809	6.4218	7.7263	3.7099
6.2422	6.3052	7.7008	3.6926
6.247	6.277	7.7046	3.6964
6.2707	6.2637	7.63	3.6558
6.239	6.2749	7.6173	3.6468
6.186	6.291	7.5966	3.616
6.2045	6.236	7.5539	3.5608
6.2707	6.2009	7.5218	3.5041
6.2062	6.248	7.5014	3.5571
6.084	6.1654	7.4918	3.5779
6.0417	6.117	7.5539	3.581
6.0496	6.14	7.5814	3.5984
6.0239	6.1121	7.5917	3.6142
5.9893	6.0558	7.5845	3.6028
6.0279	6.0481	7.5721	3.5793
6.0784	6.0376	7.5373	3.4538
6.0378	6.0093	7.5348	3.3776
6.0417	6.0717	7.526	3.5001
6.0457	6.0988	7.5634	3.5605
6.0118	6.0407	7.5153	3.5439
5.8519	6.0158	7.5041	3.5175
5.7907	5.9571	7.5141	3.492
5.7495	5.9357	7.5056	3.5337
5.6814	5.9275	7.5182	3.5553
5.7009	5.931	7.5257	3.5205
5.7389	5.8983	7.5985	3.4579
5.7282	5.9068	7.4956	3.4291
5.7146	5.9386	7.5239	3.3707
5.7415	5.9462	7.5622	3.3393
5.8472	6.0381	7.5559	3.3928
5.8777	6.0507	7.5594	3.3878
5.7856	6.0355	7.5591	3.4068
5.8614	6.1453	7.5557	3.4272
6.1354	6.4883	7.5228	3.4388
6.2785	6.613	7.5006	3.4131
6.3181	6.4967	7.5271	3.3884
6.303	6.4142	7.5259	3.3656
6.3532	6.4008	7.529	3.3621
6.5835	6.4271	7.6434	3.3847
6.5835	6.3812	7.5241	3.3922
