date	crude
01/01/01	22.19
01/02/01	23.25
01/03/01	23.8
01/04/01	24.58
01/05/01	25.2
01/08/01	25.13
01/09/01	24.05
01/10/01	24.9
01/11/01	25.49
01/12/01	25.45
01/15/01	25.62
01/16/01	25.48
01/17/01	24.22
01/18/01	25.39
01/19/01	26.8
01/22/01	27.88
01/23/01	27.14
01/24/01	27.29
01/25/01	26.45
01/26/01	26.98
01/29/01	26.24
01/30/01	26.61
01/31/01	26.53
02/01/01	27.75
02/02/01	29.4
02/05/01	29.01
02/06/01	29.15
02/07/01	29.9
02/08/01	30.52
02/09/01	28.86
02/12/01	28.43
02/13/01	27.53
02/14/01	27.7
02/15/01	26.21
02/16/01	26.55
02/19/01	26.75
02/20/01	26.15
02/21/01	25.8
02/22/01	25.62
02/23/01	26.13
02/26/01	26.15
02/27/01	25.48
02/28/01	25.14
03/01/01	24.96
03/02/01	25.68
03/05/01	25.99
03/06/01	25.78
03/07/01	26.06
03/08/01	26.32
03/09/01	25.61
03/12/01	25.19
03/13/01	24.76
03/14/01	23.59
03/15/01	23.43
03/16/01	24.13
03/19/01	23.22
03/20/01	23.65
03/21/01	23.34
03/22/01	23.51
03/23/01	23.8
03/26/01	24.6
03/27/01	25
03/28/01	24.76
03/29/01	24.15
03/30/01	24
04/02/01	23.5
04/03/01	23.56
04/04/01	24.64
04/05/01	25.03
04/06/01	24.36
04/09/01	24.75
04/10/01	25.92
04/11/01	26.42
04/12/01	27.07
04/13/01	27.07
04/16/01	26.91
04/17/01	26.89
04/18/01	26.19
04/19/01	25.99
04/20/01	25.68
04/23/01	25.53
04/24/01	25.69
04/25/01	25.54
04/26/01	26.94
04/27/01	26.92
04/30/01	27.38
05/01/01	27.38
05/02/01	27.38
05/03/01	27.59
05/04/01	27.77
05/07/01	27.38
05/08/01	27.66
05/09/01	27.77
05/10/01	28.45
05/11/01	28.01
05/14/01	27.75
05/15/01	27.88
05/16/01	28.53
05/17/01	28.59
05/18/01	29.52
05/21/01	29.79
05/22/01	29.71
05/23/01	29.42
05/24/01	28.26
05/25/01	28.77
05/28/01	28.77
05/29/01	29.06
05/30/01	29.01
05/31/01	28.54
06/01/01	28.68
06/04/01	29.06
06/05/01	29.18
06/06/01	28.7
06/07/01	28.4
06/08/01	28.48
06/11/01	29.16
06/12/01	28.85
06/13/01	28.2
06/14/01	28.37
06/15/01	28.09
06/18/01	27.37
06/19/01	26.9
06/20/01	26.4
06/21/01	26.64
06/22/01	26.8
06/25/01	27.55
06/26/01	27.53
06/27/01	25.84
06/28/01	25.54
06/29/01	26.33
07/02/01	25.47
07/03/01	25.5
07/04/01	26.04
07/05/01	25.74
07/06/01	25.61
07/09/01	25.77
07/10/01	25
07/11/01	24.89
07/12/01	23.62
07/13/01	23.98
07/16/01	23.51
07/17/01	24.11
07/18/01	23.49
07/19/01	23.63
07/20/01	23.85
07/23/01	24.23
07/24/01	24.3
07/25/01	24.89
07/26/01	25.01
07/27/01	24.63
07/30/01	24.59
07/31/01	24.7
08/01/01	24.58
08/02/01	25.67
08/03/01	25.52
08/06/01	25.38
08/07/01	25.94
08/08/01	25.43
08/09/01	25.23
08/10/01	26.15
08/13/01	25.81
08/14/01	25.65
08/15/01	25.56
08/16/01	25.19
08/17/01	24.84
08/20/01	24.94
08/21/01	25.48
08/22/01	26.03
08/23/01	25.7
08/24/01	26.32
08/27/01	25.92
08/28/01	26.42
08/29/01	26.59
08/30/01	26.66
08/31/01	26.98
09/03/01	26.5
09/04/01	26.04
09/05/01	26.26
09/06/01	26.75
09/07/01	27.48
09/10/01	27.5
09/11/01	28.41
09/12/01	27.57
09/13/01	28.28
09/14/01	29.13
09/17/01	28.42
09/18/01	27.23
09/19/01	25.55
09/20/01	25.66
09/21/01	24.8
09/24/01	20.72
09/25/01	20.53
09/26/01	20.97
09/27/01	21.68
09/28/01	21.81
10/01/01	21.46
10/02/01	21.18
10/03/01	20.51
10/04/01	21.33
10/05/01	21.49
10/08/01	20.78
10/09/01	20.65
10/10/01	20.98
10/11/01	21.41
10/12/01	20.48
10/15/01	20.82
10/16/01	20.94
10/17/01	20.12
10/18/01	19.77
10/19/01	20.19
10/22/01	20.37
10/23/01	20.34
10/24/01	20.37
10/25/01	20.53
10/26/01	20.36
10/29/01	20.36
10/30/01	20.55
10/31/01	19.72
11/01/01	19.2
11/02/01	18.95
11/05/01	18.71
11/06/01	18.68
11/07/01	18.93
11/08/01	19.71
11/09/01	20.55
11/12/01	19.67
11/13/01	20.46
11/14/01	18.73
11/15/01	17.07
11/16/01	17.15
11/19/01	16.97
11/20/01	18.77
11/21/01	18.62
11/22/01	20.19
11/23/01	19.29
11/26/01	18.53
11/27/01	19.32
11/28/01	19.2
11/29/01	18.44
11/30/01	18.71
