date	crude
01/1/2016	36.43
01/4/2016	37.11
01/5/2016	35.79
01/6/2016	34.45
01/7/2016	34.3
01/8/2016	32.16
01/11/2016	30
01/12/2016	29.33
01/13/16	28.98
01/14/16	28.95
01/15/16	28.08
01/18/16	27.38
01/19/16	27.87
01/20/16	25.91
01/21/16	27.8
01/22/16	30.34
01/25/16	29.89
01/26/16	30.83
01/27/16	31.64
01/28/16	32.98
01/29/16	33.17
02/1/2016	32.64
02/2/2016	31.35
02/3/2016	32.67
02/4/2016	33.16
02/5/2016	32.87
02/8/2016	32.21
02/9/2016	30.34
02/10/2016	29.4
02/11/2016	28.7
02/12/2016	31.85
02/15/16	32.61
02/16/16	31.47
02/17/16	33.75
02/18/16	33.71
02/19/16	32.22
02/22/16	34.28
02/23/16	32.51
02/24/16	32.59
02/25/16	33.41
02/26/16	35.9
02/29/16	35.8
03/1/2016	35.47
03/2/2016	36.43
03/3/2016	36.07
03/4/2016	37.2
03/7/2016	39.04
03/8/2016	38.99
03/9/2016	39.81
03/10/2016	38.62
03/11/2016	39.14
03/14/16	37.84
03/15/16	37.22
03/16/16	38.85
03/17/16	40.03
03/18/16	40.36
03/21/16	40.22
03/22/16	40.13
03/23/16	39.38
03/24/16	38.49
03/25/16	38.49
03/28/16	38.66
03/29/16	37.65
03/30/16	38.6
03/31/16	38.91
04/1/2016	36.69
04/4/2016	36.32
04/5/2016	35.89
04/6/2016	37.54
04/7/2016	37.39
04/8/2016	40.79
04/11/2016	41.55
04/12/2016	42.84
04/13/16	42.73
04/14/16	42.86
04/15/16	41.28
04/18/16	41.69
04/19/16	42.86
04/20/16	42.97
04/21/16	43.03
04/22/16	43.98
04/25/16	43.54
04/26/16	43.82
04/27/16	44.12
04/28/16	45.6
04/29/16	45.66
05/2/2016	45.02
05/3/2016	43.1
05/4/2016	43.06
05/5/2016	44.42
05/6/2016	44.59
05/9/2016	42.09
05/10/2016	44.03
05/11/2016	46.08
05/12/2016	46.44
05/13/16	47.42
05/16/16	48.64
05/17/16	49.06
05/18/16	49.48
05/19/16	47.73
05/20/16	48.81
05/23/16	48.1
05/24/16	48.83
05/25/16	49.15
05/26/16	49.83
05/27/16	49.04
05/30/16	49.04
05/31/16	49.05
06/1/2016	47.94
06/2/2016	48.21
06/3/2016	48.35
06/6/2016	49.09
06/7/2016	49.62
06/8/2016	50.85
06/9/2016	50.69
06/10/2016	49.63
06/13/16	49.21
06/14/16	48.04
06/15/16	47.88
06/16/16	46.14
06/17/16	46.9
06/20/16	48.97
06/21/16	48.39
06/22/16	48.48
06/23/16	49.07
06/24/16	47.16
06/27/16	45.9
06/28/16	46.54
06/29/16	48.6
06/30/16	48.21
07/1/2016	48.03
07/4/2016	47.98
07/5/2016	45.73
07/6/2016	45.49
07/7/2016	45.88
07/8/2016	44.66
07/11/2016	44.75
07/12/2016	46.13
07/13/16	44.73
07/14/16	46.13
07/15/16	46.67
07/18/16	45.89
07/19/16	45.74
07/20/16	46
07/21/16	45.64
07/22/16	44.19
07/25/16	43.17
07/26/16	43.52
07/27/16	42.82
07/28/16	41.74
07/29/16	41.43
08/1/2016	40.34
08/2/2016	40.32
08/3/2016	40.88
08/4/2016	41.52
08/5/2016	41.79
08/8/2016	43.67
08/9/2016	43.69
08/10/2016	42.65
08/11/2016	44.48
08/12/2016	45.51
08/15/16	47.33
08/16/16	48.31
08/17/16	48.64
08/18/16	49.82
08/19/16	49.85
08/22/16	48.65
08/23/16	49.32
08/24/16	48.35
08/25/16	49.15
08/26/16	49.96
08/29/16	49
08/30/16	47.78
08/31/16	46.14
09/1/2016	44.82
09/2/2016	45.9
09/5/2016	46.87
09/6/2016	46.27
09/7/2016	46.72
09/8/2016	49.45
09/9/2016	48.38
09/12/2016	48.01
09/13/16	46.61
09/14/16	45.85
09/15/16	46.33
09/16/16	45.76
09/19/16	46.49
09/20/16	45.76
09/21/16	46.5
09/22/16	47.43
09/23/16	46.99
09/26/16	46.7
09/27/16	45
09/28/16	45.44
09/29/16	48.77
09/30/16	48.16
10/3/2016	48.16
10/4/2016	49.02
10/5/2016	49.69
10/6/2016	50.13
10/7/2016	50.12
10/10/2016	51.19
10/11/2016	50.47
10/12/2016	49.8
10/13/16	49.78
10/14/16	49.66
10/17/16	49.66
