lpalm	lcrude_brent	lcrude_wti	lcrude_dubai	lrubber
5.783825182	3.062923523	3.066656612	2.941803932	3.940610462
5.799092654	2.964241606	2.979094632	2.958030406	3.958333908
5.799092654	2.90416508	2.891482252	2.862200881	4.007333185
5.814130532	2.97603964	2.985681938	2.888703701	4.040240303
5.791488055	3.013080912	3.015534901	2.959068289	4.063197833
5.800606659	2.97603964	3.008154794	2.912893995	4.06988109
5.768320996	3.02431973	3.066656612	2.965273066	4.078892458
5.814130532	2.986691529	3.040705639	2.937573359	4.074481933
5.814130532	3.070839746	3.107720776	3.000719815	4.092175545
5.82156551	3.123245594	3.17262244	3.101442728	4.153870542
5.828945618	3.171364842	3.197447877	3.153590358	4.240895005
5.809042985	3.222867846	3.24102863	3.173459961	4.250350663
5.790265935	3.245712479	3.266141017	3.196630216	4.229458036
5.828945618	3.24998682	3.266141017	3.213260086	4.210199815
5.850764665	3.118392286	3.157425863	3.154017253	4.202301704
5.836271658	3.26308408	3.274499729	3.195811885	4.162158962
5.957649199	3.280159053	3.300271463	3.198673118	4.145671189
5.879135362	3.269188639	3.286534473	3.18138162	4.143610804
5.899897354	3.267665989	3.329343278	3.226050029	4.162158962
5.906723319	3.244153632	3.338967305	3.23317313	4.178379291
5.966146739	3.185525845	3.284288963	3.200711854	4.223763343
5.991464547	3.168003494	3.233567374	3.152736022	4.261552481
6.052089169	3.145444547	3.207612633	3.156574799	4.312274546
6.040254711	3.196630216	3.254242969	3.167161389	4.399989335
6.001909805	3.197856458	3.239070532	3.173878459	4.474605816
5.970496241	3.243373296	3.289147878	3.203559121	4.425445255
5.946728653	3.251149385	3.290265821	3.201933104	4.419201988
5.985194934	3.271088696	3.314549575	3.205587931	4.407938016
6.003887067	3.289893312	3.326114576	3.226843995	4.385271365
6.01615716	3.228826156	3.279029748	3.198673118	4.35195395
6.052089169	3.248822901	3.291010423	3.199896858	4.345232974
6.03068526	3.244933359	3.291010423	3.19047635	4.395066248
6.069582326	3.30981282	3.375537635	3.252310601	4.427
6.063785209	3.302113423	3.400863993	3.25347047	4.423888089
6.034284544	3.314186005	3.366260812	3.275634159	4.48661185
6.022236206	3.343568269	3.384729189	3.28765534	4.521462437
6.02827852	3.357593744	3.395514599	3.307619035	4.515792375
6.02827852	3.347444926	3.389462125	3.298056623	4.462569217
6.02827852	3.366605937	3.418709807	3.311637305	4.461068842
5.961778237	3.347444926	3.389462125	3.304686481	4.459566212
5.985194934	3.339676525	3.379633204	3.286908235	4.445705411
6.022236206	3.342861805	3.386422096	3.295095851	4.419201988
6.046189447	3.253856794	3.299164656	3.21647294	4.425445255
6.044294161	3.229617921	3.297317251	3.168424281	4.441120674
6.081076706	3.163363115	3.251536607	3.100992784	4.445705411
6.092440464	3.136797714	3.238678452	3.110399349	4.448867192
6.081076706	3.222867846	3.32251486	3.200711854	4.434856248
6.092440464	3.228033763	3.291010423	3.17722015	4.453416631
6.114787763	3.252310601	3.29694736	3.18428438	4.442651256
6.114787763	3.328626689	3.34603697	3.233567374	4.436396442
6.142037406	3.406184923	3.420019136	3.274499729	4.45190245
6.152732695	3.448398983	3.48676327	3.324676244	4.458061321
6.114787763	3.471345142	3.504355474	3.291382516	4.471638793
6.125776885	3.413455279	3.452840615	3.295095851	4.501253073
6.114787763	3.465735903	3.52282487	3.342154841	4.504133642
6.114787763	3.440418095	3.55477647	3.350254903	4.504133642
6.114787763	3.447444633	3.511843902	3.387098457	4.511408806
6.103676538	3.483391619	3.556775613	3.385068	4.534318445
6.092440464	3.510649515	3.600321427	3.42165339	4.532922022
6.125776885	3.491951745	3.604410297	3.398527153	4.559440334
6.109247583	3.521938999	3.604410297	3.411147713	4.545526333
6.075346031	3.551913599	3.631250341	3.402862661	4.551136297
6.075346031	3.437850699	3.566994266	3.383372797	4.562158295
6.052089169	3.219675505	3.302481409	3.165475048	4.539884719
6.052089169	3.310543013	3.408172995	3.235536266	4.531523646
6.040254711	3.227240741	3.346741196	3.14458322	4.518631425
6.040254711	3.203965212	3.342154841	3.136363403	4.493903374
6.034284544	3.219275745	3.404525172	3.168424281	4.480626851
6.034284544	3.172203417	3.255014871	3.147164977	4.454928523
6.010040933	3.159974717	3.248046202	3.149740086	4.427
6.022236206	3.225652809	3.319625728	3.171784217	4.414372811
6.075346031	3.302849259	3.369706715	3.196630216	4.433313679
6.081076706	3.290265821	3.392492941	3.224857897	4.470151974
6.081076706	3.287281858	3.386422096	3.231199575	4.464067345
6.057954288	3.343215099	3.442339325	3.246880021	4.465563232
6.057954288	3.303216973	3.421979921	3.235536266	4.445705411
6.109247583	3.29694736	3.421979921	3.231199575	4.430221384
6.063785209	3.316365446	3.373483543	3.248434627	4.414372811
6.063785209	3.321071337	3.414113607	3.272606147	4.419201988
6.052089169	3.374511116	3.444576105	3.301008654	4.459566212
6.040254711	3.375879574	3.464485121	3.298795448	4.473123405
6.02827852	3.34603697	3.411477691	3.280159053	4.485034385
5.966146739	3.408503957	3.472897696	3.285038027	4.507116246
5.991464547	3.410157123	3.472897696	3.337192052	4.528613063
5.991464547	3.375195579	3.434309733	3.314913013	4.545526333
6.003887067	3.406848053	3.454422143	3.328626689	4.552507533
6.086774727	3.396854632	3.458207636	3.319625728	4.579852378
6.046189447	3.314913013	3.364879119	3.23277873	4.589244035
6.063785209	3.283914221	3.341447377	3.235142797	4.619566066
6.098074282	3.233567374	3.293240907	3.193763124	4.666453414
6.136646557	3.301008654	3.339676525	3.231989464	4.722953222
6.120297419	3.381334753	3.413455279	3.278276168	4.744932128
6.109247583	3.443937535	3.466048354	3.326473835	4.790736473
6.214608098	3.399529325	3.421326753	3.335769576	4.841901011
6.272877007	3.38269391	3.400863993	3.305053521	4.89447594
6.263398263	3.341801172	3.375537635	3.269568939	4.937849524
6.199494461	3.354455119	3.425239376	3.304686481	4.954699662
6.234410726	3.394172767	3.47537678	3.337547355	4.853279483
6.224558429	3.376904689	3.473828073	3.354455119	4.785322725
6.209595557	3.357593744	3.412137322	3.321432413	4.763113664
6.234410726	3.366605937	3.423610976	3.309447523	4.759692225
6.224558429	3.417398761	3.498324092	3.339321978	4.807049242
6.244166901	3.4190373	3.490733347	3.384390263	4.833579847
